
1670955446063 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1670955447772 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': 110.8, 'chp': 0.6, 'lp': 18608.0, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 18524.4, 'high_price': 18617.2, 'low_price': 18490.2, 'prev_close_price': 18497.2, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1670889600}}]}

1670955463843 :: quotes :: {'symbols': 'NSE:INFY-EQ'} :: 1670955465170 :: {'s': 'ok', 'd': [{'n': 'NSE:INFY-EQ', 's': 'ok', 'v': {'ch': -22.1, 'chp': -1.41, 'lp': 1547.2, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1550.0, 'high_price': 1565.95, 'low_price': 1530.05, 'prev_close_price': 1569.3, 'volume': 8037679, 'short_name': 'INFY-EQ', 'exchange': 'NSE', 'description': 'NSE:INFY-EQ', 'original_name': 'NSE:INFY-EQ', 'symbol': 'NSE:INFY-EQ', 'fyToken': '10100000001594', 'tt': 1670889600}}]}

1670955465174 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1670955466149 :: {'s': 'ok', 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ch': -3.45, 'chp': -0.56, 'lp': 613.05, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 614.8, 'high_price': 618.7, 'low_price': 611.0, 'prev_close_price': 616.5, 'volume': 9285187, 'short_name': 'SBIN-EQ', 'exchange': 'NSE', 'description': 'NSE:SBIN-EQ', 'original_name': 'NSE:SBIN-EQ', 'symbol': 'NSE:SBIN-EQ', 'fyToken': '10100000003045', 'tt': 1670889600}}]}

1670955476161 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1670955477416 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': 110.8, 'chp': 0.6, 'lp': 18608.0, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 18524.4, 'high_price': 18617.2, 'low_price': 18490.2, 'prev_close_price': 18497.2, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1670889600}}]}

1670955477417 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1670955478355 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 237.8, 'chp': 0.54, 'lp': 43946.6, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 43793.7, 'high_price': 43983.8, 'low_price': 43767.8, 'prev_close_price': 43708.8, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1670889600}}]}

1670955478356 :: quotes :: {'symbols': 'NSE:INFY-EQ'} :: 1670955479689 :: {'s': 'ok', 'd': [{'n': 'NSE:INFY-EQ', 's': 'ok', 'v': {'ch': -22.1, 'chp': -1.41, 'lp': 1547.2, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1550.0, 'high_price': 1565.95, 'low_price': 1530.05, 'prev_close_price': 1569.3, 'volume': 8037679, 'short_name': 'INFY-EQ', 'exchange': 'NSE', 'description': 'NSE:INFY-EQ', 'original_name': 'NSE:INFY-EQ', 'symbol': 'NSE:INFY-EQ', 'fyToken': '10100000001594', 'tt': 1670889600}}]}

1670955479695 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1670955481032 :: {'s': 'ok', 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ch': -3.45, 'chp': -0.56, 'lp': 613.05, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 614.8, 'high_price': 618.7, 'low_price': 611.0, 'prev_close_price': 616.5, 'volume': 9285187, 'short_name': 'SBIN-EQ', 'exchange': 'NSE', 'description': 'NSE:SBIN-EQ', 'original_name': 'NSE:SBIN-EQ', 'symbol': 'NSE:SBIN-EQ', 'fyToken': '10100000003045', 'tt': 1670889600}}]}

1670955491043 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1670955492393 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': 110.8, 'chp': 0.6, 'lp': 18608.0, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 18524.4, 'high_price': 18617.2, 'low_price': 18490.2, 'prev_close_price': 18497.2, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1670889600}}]}

1670955492394 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1670955493353 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 237.8, 'chp': 0.54, 'lp': 43946.6, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 43793.7, 'high_price': 43983.8, 'low_price': 43767.8, 'prev_close_price': 43708.8, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1670889600}}]}

1670955493354 :: quotes :: {'symbols': 'NSE:INFY-EQ'} :: 1670955494414 :: {'s': 'ok', 'd': [{'n': 'NSE:INFY-EQ', 's': 'ok', 'v': {'ch': -22.1, 'chp': -1.41, 'lp': 1547.2, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1550.0, 'high_price': 1565.95, 'low_price': 1530.05, 'prev_close_price': 1569.3, 'volume': 8037679, 'short_name': 'INFY-EQ', 'exchange': 'NSE', 'description': 'NSE:INFY-EQ', 'original_name': 'NSE:INFY-EQ', 'symbol': 'NSE:INFY-EQ', 'fyToken': '10100000001594', 'tt': 1670889600}}]}

1670955494418 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1670955495874 :: {'s': 'ok', 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ch': -3.45, 'chp': -0.56, 'lp': 613.05, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 614.8, 'high_price': 618.7, 'low_price': 611.0, 'prev_close_price': 616.5, 'volume': 9285187, 'short_name': 'SBIN-EQ', 'exchange': 'NSE', 'description': 'NSE:SBIN-EQ', 'original_name': 'NSE:SBIN-EQ', 'symbol': 'NSE:SBIN-EQ', 'fyToken': '10100000003045', 'tt': 1670889600}}]}

1670955505884 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1670955507254 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': 110.8, 'chp': 0.6, 'lp': 18608.0, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 18524.4, 'high_price': 18617.2, 'low_price': 18490.2, 'prev_close_price': 18497.2, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1670889600}}]}

1670955507255 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1670955508204 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 237.8, 'chp': 0.54, 'lp': 43946.6, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 43793.7, 'high_price': 43983.8, 'low_price': 43767.8, 'prev_close_price': 43708.8, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1670889600}}]}

1670955508205 :: quotes :: {'symbols': 'NSE:INFY-EQ'} :: 1670955510231 :: {'s': 'ok', 'd': [{'n': 'NSE:INFY-EQ', 's': 'ok', 'v': {'ch': -22.1, 'chp': -1.41, 'lp': 1547.2, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1550.0, 'high_price': 1565.95, 'low_price': 1530.05, 'prev_close_price': 1569.3, 'volume': 8037679, 'short_name': 'INFY-EQ', 'exchange': 'NSE', 'description': 'NSE:INFY-EQ', 'original_name': 'NSE:INFY-EQ', 'symbol': 'NSE:INFY-EQ', 'fyToken': '10100000001594', 'tt': 1670889600}}]}

1670955510236 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1670955511480 :: {'s': 'ok', 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ch': -3.45, 'chp': -0.56, 'lp': 613.05, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 614.8, 'high_price': 618.7, 'low_price': 611.0, 'prev_close_price': 616.5, 'volume': 9285187, 'short_name': 'SBIN-EQ', 'exchange': 'NSE', 'description': 'NSE:SBIN-EQ', 'original_name': 'NSE:SBIN-EQ', 'symbol': 'NSE:SBIN-EQ', 'fyToken': '10100000003045', 'tt': 1670889600}}]}

1670955521490 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1670955523825 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': 110.8, 'chp': 0.6, 'lp': 18608.0, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 18524.4, 'high_price': 18617.2, 'low_price': 18490.2, 'prev_close_price': 18497.2, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1670889600}}]}

1670955523826 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1670955524822 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 237.8, 'chp': 0.54, 'lp': 43946.6, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 43793.7, 'high_price': 43983.8, 'low_price': 43767.8, 'prev_close_price': 43708.8, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1670889600}}]}

1670955524823 :: quotes :: {'symbols': 'NSE:INFY-EQ'} :: 1670955526077 :: {'s': 'ok', 'd': [{'n': 'NSE:INFY-EQ', 's': 'ok', 'v': {'ch': -22.1, 'chp': -1.41, 'lp': 1547.2, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1550.0, 'high_price': 1565.95, 'low_price': 1530.05, 'prev_close_price': 1569.3, 'volume': 8037679, 'short_name': 'INFY-EQ', 'exchange': 'NSE', 'description': 'NSE:INFY-EQ', 'original_name': 'NSE:INFY-EQ', 'symbol': 'NSE:INFY-EQ', 'fyToken': '10100000001594', 'tt': 1670889600}}]}

1670955526082 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1670955527078 :: {'s': 'ok', 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ch': -3.45, 'chp': -0.56, 'lp': 613.05, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 614.8, 'high_price': 618.7, 'low_price': 611.0, 'prev_close_price': 616.5, 'volume': 9285187, 'short_name': 'SBIN-EQ', 'exchange': 'NSE', 'description': 'NSE:SBIN-EQ', 'original_name': 'NSE:SBIN-EQ', 'symbol': 'NSE:SBIN-EQ', 'fyToken': '10100000003045', 'tt': 1670889600}}]}

1670955537088 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1670955538570 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': 110.8, 'chp': 0.6, 'lp': 18608.0, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 18524.4, 'high_price': 18617.2, 'low_price': 18490.2, 'prev_close_price': 18497.2, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1670889600}}]}

1670955538571 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1670955539867 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 237.8, 'chp': 0.54, 'lp': 43946.6, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 43793.7, 'high_price': 43983.8, 'low_price': 43767.8, 'prev_close_price': 43708.8, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1670889600}}]}

1670955539868 :: quotes :: {'symbols': 'NSE:INFY-EQ'} :: 1670955540809 :: {'s': 'ok', 'd': [{'n': 'NSE:INFY-EQ', 's': 'ok', 'v': {'ch': -22.1, 'chp': -1.41, 'lp': 1547.2, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1550.0, 'high_price': 1565.95, 'low_price': 1530.05, 'prev_close_price': 1569.3, 'volume': 8037679, 'short_name': 'INFY-EQ', 'exchange': 'NSE', 'description': 'NSE:INFY-EQ', 'original_name': 'NSE:INFY-EQ', 'symbol': 'NSE:INFY-EQ', 'fyToken': '10100000001594', 'tt': 1670889600}}]}

1670955540814 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1670955542255 :: {'s': 'ok', 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ch': -3.45, 'chp': -0.56, 'lp': 613.05, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 614.8, 'high_price': 618.7, 'low_price': 611.0, 'prev_close_price': 616.5, 'volume': 9285187, 'short_name': 'SBIN-EQ', 'exchange': 'NSE', 'description': 'NSE:SBIN-EQ', 'original_name': 'NSE:SBIN-EQ', 'symbol': 'NSE:SBIN-EQ', 'fyToken': '10100000003045', 'tt': 1670889600}}]}

1670955552264 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1670955553600 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': 110.8, 'chp': 0.6, 'lp': 18608.0, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 18524.4, 'high_price': 18617.2, 'low_price': 18490.2, 'prev_close_price': 18497.2, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1670889600}}]}

1670955553602 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1670955554625 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 237.8, 'chp': 0.54, 'lp': 43946.6, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 43793.7, 'high_price': 43983.8, 'low_price': 43767.8, 'prev_close_price': 43708.8, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1670889600}}]}

1670955554626 :: quotes :: {'symbols': 'NSE:INFY-EQ'} :: 1670955555976 :: {'s': 'ok', 'd': [{'n': 'NSE:INFY-EQ', 's': 'ok', 'v': {'ch': -22.1, 'chp': -1.41, 'lp': 1547.2, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1550.0, 'high_price': 1565.95, 'low_price': 1530.05, 'prev_close_price': 1569.3, 'volume': 8037679, 'short_name': 'INFY-EQ', 'exchange': 'NSE', 'description': 'NSE:INFY-EQ', 'original_name': 'NSE:INFY-EQ', 'symbol': 'NSE:INFY-EQ', 'fyToken': '10100000001594', 'tt': 1670889600}}]}

1670955555981 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1670955556984 :: {'s': 'ok', 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ch': -3.45, 'chp': -0.56, 'lp': 613.05, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 614.8, 'high_price': 618.7, 'low_price': 611.0, 'prev_close_price': 616.5, 'volume': 9285187, 'short_name': 'SBIN-EQ', 'exchange': 'NSE', 'description': 'NSE:SBIN-EQ', 'original_name': 'NSE:SBIN-EQ', 'symbol': 'NSE:SBIN-EQ', 'fyToken': '10100000003045', 'tt': 1670889600}}]}

1670955566994 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1670955568375 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': 110.8, 'chp': 0.6, 'lp': 18608.0, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 18524.4, 'high_price': 18617.2, 'low_price': 18490.2, 'prev_close_price': 18497.2, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1670889600}}]}

1670955568376 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1670955569766 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 237.8, 'chp': 0.54, 'lp': 43946.6, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 43793.7, 'high_price': 43983.8, 'low_price': 43767.8, 'prev_close_price': 43708.8, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1670889600}}]}

1670955569767 :: quotes :: {'symbols': 'NSE:INFY-EQ'} :: 1670955571032 :: {'s': 'ok', 'd': [{'n': 'NSE:INFY-EQ', 's': 'ok', 'v': {'ch': -22.1, 'chp': -1.41, 'lp': 1547.2, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1550.0, 'high_price': 1565.95, 'low_price': 1530.05, 'prev_close_price': 1569.3, 'volume': 8037679, 'short_name': 'INFY-EQ', 'exchange': 'NSE', 'description': 'NSE:INFY-EQ', 'original_name': 'NSE:INFY-EQ', 'symbol': 'NSE:INFY-EQ', 'fyToken': '10100000001594', 'tt': 1670889600}}]}

1670955571038 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1670955572030 :: {'s': 'ok', 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ch': -3.45, 'chp': -0.56, 'lp': 613.05, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 614.8, 'high_price': 618.7, 'low_price': 611.0, 'prev_close_price': 616.5, 'volume': 9285187, 'short_name': 'SBIN-EQ', 'exchange': 'NSE', 'description': 'NSE:SBIN-EQ', 'original_name': 'NSE:SBIN-EQ', 'symbol': 'NSE:SBIN-EQ', 'fyToken': '10100000003045', 'tt': 1670889600}}]}

1670955582040 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1670955583421 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': 110.8, 'chp': 0.6, 'lp': 18608.0, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 18524.4, 'high_price': 18617.2, 'low_price': 18490.2, 'prev_close_price': 18497.2, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1670889600}}]}

1670955583422 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1670955584753 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': 237.8, 'chp': 0.54, 'lp': 43946.6, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 43793.7, 'high_price': 43983.8, 'low_price': 43767.8, 'prev_close_price': 43708.8, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1670889600}}]}

1670955584754 :: quotes :: {'symbols': 'NSE:INFY-EQ'} :: 1670955586182 :: {'s': 'ok', 'd': [{'n': 'NSE:INFY-EQ', 's': 'ok', 'v': {'ch': -22.1, 'chp': -1.41, 'lp': 1547.2, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1550.0, 'high_price': 1565.95, 'low_price': 1530.05, 'prev_close_price': 1569.3, 'volume': 8037679, 'short_name': 'INFY-EQ', 'exchange': 'NSE', 'description': 'NSE:INFY-EQ', 'original_name': 'NSE:INFY-EQ', 'symbol': 'NSE:INFY-EQ', 'fyToken': '10100000001594', 'tt': 1670889600}}]}

1670955586187 :: quotes :: {'symbols': 'NSE:SBIN-EQ'} :: 1670955587527 :: {'s': 'ok', 'd': [{'n': 'NSE:SBIN-EQ', 's': 'ok', 'v': {'ch': -3.45, 'chp': -0.56, 'lp': 613.05, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 614.8, 'high_price': 618.7, 'low_price': 611.0, 'prev_close_price': 616.5, 'volume': 9285187, 'short_name': 'SBIN-EQ', 'exchange': 'NSE', 'description': 'NSE:SBIN-EQ', 'original_name': 'NSE:SBIN-EQ', 'symbol': 'NSE:SBIN-EQ', 'fyToken': '10100000003045', 'tt': 1670889600}}]}

