
1671075901000 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671075902285 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -47.8, 'chp': -0.26, 'lp': 18612.5, 'spread': 0.0, 'ask': 18612.5, 'bid': 18612.5, 'open_price': 18614.4, 'high_price': 18621.2, 'low_price': 18612.2, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 18614.4, 'h': 18621.2, 'l': 18612.2, 'c': 18612.5, 'v': 0, 'tf': '9:15'}}}]}

1671075917193 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1671075918099 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': -84.85, 'chp': -0.19, 'lp': 43964.25, 'spread': 0.0, 'ask': 43964.25, 'bid': 43964.25, 'open_price': 43940.1, 'high_price': 43976.5, 'low_price': 43927.5, 'prev_close_price': 44049.1, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 43940.1, 'h': 43976.5, 'l': 43927.5, 'c': 43964.25, 'v': 0, 'tf': '9:15'}}}]}

1671075918100 :: quotes :: {'symbols': 'NSE:MOTHERSON-EQ'} :: 1671075919026 :: {'s': 'ok', 'd': [{'n': 'NSE:MOTHERSON-EQ', 's': 'ok', 'v': {'ch': 0.3, 'chp': 0.42, 'lp': 72.55, 'spread': 0.1, 'ask': 72.55, 'bid': 72.45, 'open_price': 72.65, 'high_price': 72.65, 'low_price': 72.4, 'prev_close_price': 72.25, 'volume': 54485, 'short_name': 'MOTHERSON-EQ', 'exchange': 'NSE', 'description': 'NSE:MOTHERSON-EQ', 'original_name': 'NSE:MOTHERSON-EQ', 'symbol': 'NSE:MOTHERSON-EQ', 'fyToken': '10100000004204', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 72.6, 'h': 72.6, 'l': 72.4, 'c': 72.55, 'v': 30961, 'tf': '9:15'}}}]}

1671075919031 :: quotes :: {'symbols': 'NSE:INTELLECT-EQ'} :: 1671075919950 :: {'s': 'ok', 'd': [{'n': 'NSE:INTELLECT-EQ', 's': 'ok', 'v': {'ch': 1.85, 'chp': 0.42, 'lp': 440.8, 'spread': 0.65, 'ask': 440.75, 'bid': 440.1, 'open_price': 441.15, 'high_price': 441.15, 'low_price': 439.15, 'prev_close_price': 438.95, 'volume': 4729, 'short_name': 'INTELLECT-EQ', 'exchange': 'NSE', 'description': 'NSE:INTELLECT-EQ', 'original_name': 'NSE:INTELLECT-EQ', 'symbol': 'NSE:INTELLECT-EQ', 'fyToken': '10100000005926', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 441.15, 'h': 441.15, 'l': 439.15, 'c': 440.8, 'v': 1697, 'tf': '9:15'}}}]}

1671075919953 :: quotes :: {'symbols': 'NSE:ICICIGI-EQ'} :: 1671075921195 :: {'s': 'ok', 'd': [{'n': 'NSE:ICICIGI-EQ', 's': 'ok', 'v': {'ch': 9.1, 'chp': 0.73, 'lp': 1252.8, 'spread': 3.6, 'ask': 1253.15, 'bid': 1249.55, 'open_price': 1249.9, 'high_price': 1252.8, 'low_price': 1243.75, 'prev_close_price': 1243.7, 'volume': 14806, 'short_name': 'ICICIGI-EQ', 'exchange': 'NSE', 'description': 'NSE:ICICIGI-EQ', 'original_name': 'NSE:ICICIGI-EQ', 'symbol': 'NSE:ICICIGI-EQ', 'fyToken': '101000000021770', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 1249.1, 'h': 1252.8, 'l': 1243.75, 'c': 1252.8, 'v': 10438, 'tf': '9:15'}}}]}

1671075931205 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671075932590 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -23.5, 'chp': -0.13, 'lp': 18636.8, 'spread': 0.0, 'ask': 18636.8, 'bid': 18636.8, 'open_price': 18614.4, 'high_price': 18638.65, 'low_price': 18608.35, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 18614.4, 'h': 18638.65, 'l': 18608.35, 'c': 18636.8, 'v': 0, 'tf': '9:15'}}}]}

1671075932591 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1671075933857 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': -41.5, 'chp': -0.09, 'lp': 44007.6, 'spread': 0.0, 'ask': 44007.6, 'bid': 44007.6, 'open_price': 43940.1, 'high_price': 44008.6, 'low_price': 43927.5, 'prev_close_price': 44049.1, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 43940.1, 'h': 44008.6, 'l': 43927.5, 'c': 44007.6, 'v': 0, 'tf': '9:15'}}}]}

1671075933858 :: quotes :: {'symbols': 'NSE:MOTHERSON-EQ'} :: 1671075934768 :: {'s': 'ok', 'd': [{'n': 'NSE:MOTHERSON-EQ', 's': 'ok', 'v': {'ch': 0.3, 'chp': 0.42, 'lp': 72.55, 'spread': 0.1, 'ask': 72.55, 'bid': 72.45, 'open_price': 72.65, 'high_price': 72.65, 'low_price': 72.35, 'prev_close_price': 72.25, 'volume': 106124, 'short_name': 'MOTHERSON-EQ', 'exchange': 'NSE', 'description': 'NSE:MOTHERSON-EQ', 'original_name': 'NSE:MOTHERSON-EQ', 'symbol': 'NSE:MOTHERSON-EQ', 'fyToken': '10100000004204', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 72.6, 'h': 72.6, 'l': 72.35, 'c': 72.55, 'v': 82600, 'tf': '9:15'}}}]}

1671075934773 :: quotes :: {'symbols': 'NSE:INTELLECT-EQ'} :: 1671075935679 :: {'s': 'ok', 'd': [{'n': 'NSE:INTELLECT-EQ', 's': 'ok', 'v': {'ch': -0.1, 'chp': -0.02, 'lp': 438.85, 'spread': 0.95, 'ask': 439.0, 'bid': 438.05, 'open_price': 441.15, 'high_price': 441.15, 'low_price': 437.45, 'prev_close_price': 438.95, 'volume': 7563, 'short_name': 'INTELLECT-EQ', 'exchange': 'NSE', 'description': 'NSE:INTELLECT-EQ', 'original_name': 'NSE:INTELLECT-EQ', 'symbol': 'NSE:INTELLECT-EQ', 'fyToken': '10100000005926', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 441.15, 'h': 441.15, 'l': 437.45, 'c': 438.85, 'v': 4531, 'tf': '9:15'}}}]}

1671075935685 :: quotes :: {'symbols': 'NSE:ICICIGI-EQ'} :: 1671075936970 :: {'s': 'ok', 'd': [{'n': 'NSE:ICICIGI-EQ', 's': 'ok', 'v': {'ch': 11.3, 'chp': 0.91, 'lp': 1255.0, 'spread': 2.0, 'ask': 1255.0, 'bid': 1253.0, 'open_price': 1249.9, 'high_price': 1255.0, 'low_price': 1243.75, 'prev_close_price': 1243.7, 'volume': 24240, 'short_name': 'ICICIGI-EQ', 'exchange': 'NSE', 'description': 'NSE:ICICIGI-EQ', 'original_name': 'NSE:ICICIGI-EQ', 'symbol': 'NSE:ICICIGI-EQ', 'fyToken': '101000000021770', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 1249.1, 'h': 1255.0, 'l': 1243.75, 'c': 1255.0, 'v': 19872, 'tf': '9:15'}}}]}

1671075946980 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671075947890 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -9.5, 'chp': -0.05, 'lp': 18650.8, 'spread': 0.0, 'ask': 18650.8, 'bid': 18650.8, 'open_price': 18614.4, 'high_price': 18652.9, 'low_price': 18608.35, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 18614.4, 'h': 18652.9, 'l': 18608.35, 'c': 18650.8, 'v': 0, 'tf': '9:15'}}}]}

1671075947891 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1671075948893 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': -13.2, 'chp': -0.03, 'lp': 44035.9, 'spread': 0.0, 'ask': 44035.9, 'bid': 44035.9, 'open_price': 43940.1, 'high_price': 44035.9, 'low_price': 43927.5, 'prev_close_price': 44049.1, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 43940.1, 'h': 44035.9, 'l': 43927.5, 'c': 44035.9, 'v': 0, 'tf': '9:15'}}}]}

1671075948893 :: quotes :: {'symbols': 'NSE:MOTHERSON-EQ'} :: 1671075949805 :: {'s': 'ok', 'd': [{'n': 'NSE:MOTHERSON-EQ', 's': 'ok', 'v': {'ch': 0.65, 'chp': 0.9, 'lp': 72.9, 'spread': 0.05, 'ask': 72.9, 'bid': 72.85, 'open_price': 72.65, 'high_price': 72.9, 'low_price': 72.35, 'prev_close_price': 72.25, 'volume': 247154, 'short_name': 'MOTHERSON-EQ', 'exchange': 'NSE', 'description': 'NSE:MOTHERSON-EQ', 'original_name': 'NSE:MOTHERSON-EQ', 'symbol': 'NSE:MOTHERSON-EQ', 'fyToken': '10100000004204', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 72.6, 'h': 72.9, 'l': 72.35, 'c': 72.9, 'v': 223630, 'tf': '9:15'}}}]}

1671075949810 :: quotes :: {'symbols': 'NSE:INTELLECT-EQ'} :: 1671075950711 :: {'s': 'ok', 'd': [{'n': 'NSE:INTELLECT-EQ', 's': 'ok', 'v': {'ch': -0.6, 'chp': -0.14, 'lp': 438.35, 'spread': 0.8, 'ask': 438.95, 'bid': 438.15, 'open_price': 441.15, 'high_price': 441.15, 'low_price': 437.45, 'prev_close_price': 438.95, 'volume': 8912, 'short_name': 'INTELLECT-EQ', 'exchange': 'NSE', 'description': 'NSE:INTELLECT-EQ', 'original_name': 'NSE:INTELLECT-EQ', 'symbol': 'NSE:INTELLECT-EQ', 'fyToken': '10100000005926', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 441.15, 'h': 441.15, 'l': 437.45, 'c': 438.35, 'v': 5880, 'tf': '9:15'}}}]}

1671075950717 :: quotes :: {'symbols': 'NSE:ICICIGI-EQ'} :: 1671075951626 :: {'s': 'ok', 'd': [{'n': 'NSE:ICICIGI-EQ', 's': 'ok', 'v': {'ch': 16.3, 'chp': 1.31, 'lp': 1260.0, 'spread': 1.1, 'ask': 1260.0, 'bid': 1258.9, 'open_price': 1249.9, 'high_price': 1261.55, 'low_price': 1243.75, 'prev_close_price': 1243.7, 'volume': 29287, 'short_name': 'ICICIGI-EQ', 'exchange': 'NSE', 'description': 'NSE:ICICIGI-EQ', 'original_name': 'NSE:ICICIGI-EQ', 'symbol': 'NSE:ICICIGI-EQ', 'fyToken': '101000000021770', 'tt': 1671062400, 'cmd': {'t': 1671075900, 'o': 1249.1, 'h': 1261.55, 'l': 1243.75, 'c': 1260.0, 'v': 24919, 'tf': '9:15'}}}]}

1671075961637 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671075962542 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -18.55, 'chp': -0.1, 'lp': 18641.75, 'spread': 0.0, 'ask': 18641.75, 'bid': 18641.75, 'open_price': 18614.4, 'high_price': 18652.9, 'low_price': 18608.35, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671075960, 'o': 18643.25, 'h': 18643.25, 'l': 18641.6, 'c': 18641.75, 'v': 0, 'tf': '9:16'}}}]}

1671075962543 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1671075963801 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': -20.45, 'chp': -0.05, 'lp': 44028.65, 'spread': 0.0, 'ask': 44028.65, 'bid': 44028.65, 'open_price': 43940.1, 'high_price': 44037.2, 'low_price': 43927.5, 'prev_close_price': 44049.1, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1671062400, 'cmd': {'t': 1671075960, 'o': 44030.85, 'h': 44030.85, 'l': 44027.2, 'c': 44028.65, 'v': 0, 'tf': '9:16'}}}]}

1671075963802 :: quotes :: {'symbols': 'NSE:MOTHERSON-EQ'} :: 1671075964795 :: {'s': 'ok', 'd': [{'n': 'NSE:MOTHERSON-EQ', 's': 'ok', 'v': {'ch': 0.55, 'chp': 0.76, 'lp': 72.8, 'spread': 0.05, 'ask': 72.8, 'bid': 72.75, 'open_price': 72.65, 'high_price': 72.95, 'low_price': 72.35, 'prev_close_price': 72.25, 'volume': 307293, 'short_name': 'MOTHERSON-EQ', 'exchange': 'NSE', 'description': 'NSE:MOTHERSON-EQ', 'original_name': 'NSE:MOTHERSON-EQ', 'symbol': 'NSE:MOTHERSON-EQ', 'fyToken': '10100000004204', 'tt': 1671062400, 'cmd': {'t': 1671075960, 'o': 72.8, 'h': 72.8, 'l': 72.8, 'c': 72.8, 'v': 21494, 'tf': '9:16'}}}]}

1671075964800 :: quotes :: {'symbols': 'NSE:INTELLECT-EQ'} :: 1671075965710 :: {'s': 'ok', 'd': [{'n': 'NSE:INTELLECT-EQ', 's': 'ok', 'v': {'ch': 0.8, 'chp': 0.18, 'lp': 439.75, 'spread': 0.5, 'ask': 439.45, 'bid': 438.95, 'open_price': 441.15, 'high_price': 441.15, 'low_price': 437.45, 'prev_close_price': 438.95, 'volume': 10261, 'short_name': 'INTELLECT-EQ', 'exchange': 'NSE', 'description': 'NSE:INTELLECT-EQ', 'original_name': 'NSE:INTELLECT-EQ', 'symbol': 'NSE:INTELLECT-EQ', 'fyToken': '10100000005926', 'tt': 1671062400, 'cmd': {'t': 1671075960, 'o': 439.75, 'h': 439.75, 'l': 439.75, 'c': 439.75, 'v': 65, 'tf': '9:16'}}}]}

1671075965716 :: quotes :: {'symbols': 'NSE:ICICIGI-EQ'} :: 1671075966622 :: {'s': 'ok', 'd': [{'n': 'NSE:ICICIGI-EQ', 's': 'ok', 'v': {'ch': 15.7, 'chp': 1.26, 'lp': 1259.4, 'spread': 1.1, 'ask': 1259.4, 'bid': 1258.3, 'open_price': 1249.9, 'high_price': 1261.55, 'low_price': 1243.75, 'prev_close_price': 1243.7, 'volume': 32504, 'short_name': 'ICICIGI-EQ', 'exchange': 'NSE', 'description': 'NSE:ICICIGI-EQ', 'original_name': 'NSE:ICICIGI-EQ', 'symbol': 'NSE:ICICIGI-EQ', 'fyToken': '101000000021770', 'tt': 1671062400, 'cmd': {'t': 1671075960, 'o': 1259.05, 'h': 1259.95, 'l': 1258.15, 'c': 1259.4, 'v': 2761, 'tf': '9:16'}}}]}

1671075976629 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671075977911 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -25.55, 'chp': -0.14, 'lp': 18634.75, 'spread': 0.0, 'ask': 18634.75, 'bid': 18634.75, 'open_price': 18614.4, 'high_price': 18652.9, 'low_price': 18608.35, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671075960, 'o': 18643.25, 'h': 18643.25, 'l': 18633.25, 'c': 18634.75, 'v': 0, 'tf': '9:16'}}}]}

1671075977912 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1671075978909 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': -13.2, 'chp': -0.03, 'lp': 44035.9, 'spread': 0.0, 'ask': 44035.9, 'bid': 44035.9, 'open_price': 43940.1, 'high_price': 44046.4, 'low_price': 43927.5, 'prev_close_price': 44049.1, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1671062400, 'cmd': {'t': 1671075960, 'o': 44030.85, 'h': 44046.4, 'l': 44017.55, 'c': 44035.9, 'v': 0, 'tf': '9:16'}}}]}

1671075978910 :: quotes :: {'symbols': 'NSE:MOTHERSON-EQ'} :: 1671075979831 :: {'s': 'ok', 'd': [{'n': 'NSE:MOTHERSON-EQ', 's': 'ok', 'v': {'ch': 0.3, 'chp': 0.42, 'lp': 72.55, 'spread': 0.05, 'ask': 72.6, 'bid': 72.55, 'open_price': 72.65, 'high_price': 72.95, 'low_price': 72.35, 'prev_close_price': 72.25, 'volume': 336747, 'short_name': 'MOTHERSON-EQ', 'exchange': 'NSE', 'description': 'NSE:MOTHERSON-EQ', 'original_name': 'NSE:MOTHERSON-EQ', 'symbol': 'NSE:MOTHERSON-EQ', 'fyToken': '10100000004204', 'tt': 1671062400, 'cmd': {'t': 1671075960, 'o': 72.8, 'h': 72.8, 'l': 72.55, 'c': 72.55, 'v': 50948, 'tf': '9:16'}}}]}

1671075979835 :: quotes :: {'symbols': 'NSE:INTELLECT-EQ'} :: 1671075980766 :: {'s': 'ok', 'd': [{'n': 'NSE:INTELLECT-EQ', 's': 'ok', 'v': {'ch': -0.25, 'chp': -0.06, 'lp': 438.7, 'spread': 0.9, 'ask': 439.15, 'bid': 438.25, 'open_price': 441.15, 'high_price': 441.15, 'low_price': 437.45, 'prev_close_price': 438.95, 'volume': 10631, 'short_name': 'INTELLECT-EQ', 'exchange': 'NSE', 'description': 'NSE:INTELLECT-EQ', 'original_name': 'NSE:INTELLECT-EQ', 'symbol': 'NSE:INTELLECT-EQ', 'fyToken': '10100000005926', 'tt': 1671062400, 'cmd': {'t': 1671075960, 'o': 439.75, 'h': 439.75, 'l': 438.7, 'c': 438.7, 'v': 435, 'tf': '9:16'}}}]}

1671075980770 :: quotes :: {'symbols': 'NSE:ICICIGI-EQ'} :: 1671075981691 :: {'s': 'ok', 'd': [{'n': 'NSE:ICICIGI-EQ', 's': 'ok', 'v': {'ch': 12.95, 'chp': 1.04, 'lp': 1256.65, 'spread': 1.05, 'ask': 1257.25, 'bid': 1256.2, 'open_price': 1249.9, 'high_price': 1261.55, 'low_price': 1243.75, 'prev_close_price': 1243.7, 'volume': 38252, 'short_name': 'ICICIGI-EQ', 'exchange': 'NSE', 'description': 'NSE:ICICIGI-EQ', 'original_name': 'NSE:ICICIGI-EQ', 'symbol': 'NSE:ICICIGI-EQ', 'fyToken': '101000000021770', 'tt': 1671062400, 'cmd': {'t': 1671075960, 'o': 1259.05, 'h': 1260.0, 'l': 1256.65, 'c': 1256.65, 'v': 8509, 'tf': '9:16'}}}]}

1671075991700 :: quotes :: {'symbols': 'NSE:NIFTY50-INDEX'} :: 1671075992612 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTY50-INDEX', 's': 'ok', 'v': {'ch': -13.75, 'chp': -0.07, 'lp': 18646.55, 'spread': 0.0, 'ask': 18646.55, 'bid': 18646.55, 'open_price': 18614.4, 'high_price': 18652.9, 'low_price': 18608.35, 'prev_close_price': 18660.3, 'volume': 0, 'short_name': 'NIFTY50-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTY50-INDEX', 'original_name': 'NSE:NIFTY50-INDEX', 'symbol': 'NSE:NIFTY50-INDEX', 'fyToken': '101000000026000', 'tt': 1671062400, 'cmd': {'t': 1671075960, 'o': 18643.25, 'h': 18646.55, 'l': 18633.25, 'c': 18646.55, 'v': 0, 'tf': '9:16'}}}]}

1671075992613 :: quotes :: {'symbols': 'NSE:NIFTYBANK-INDEX'} :: 1671075993585 :: {'s': 'ok', 'd': [{'n': 'NSE:NIFTYBANK-INDEX', 's': 'ok', 'v': {'ch': -5.5, 'chp': -0.01, 'lp': 44043.6, 'spread': 0.0, 'ask': 44043.6, 'bid': 44043.6, 'open_price': 43940.1, 'high_price': 44056.25, 'low_price': 43927.5, 'prev_close_price': 44049.1, 'volume': 0, 'short_name': 'NIFTYBANK-INDEX', 'exchange': 'NSE', 'description': 'NSE:NIFTYBANK-INDEX', 'original_name': 'NSE:NIFTYBANK-INDEX', 'symbol': 'NSE:NIFTYBANK-INDEX', 'fyToken': '101000000026009', 'tt': 1671062400, 'cmd': {'t': 1671075960, 'o': 44030.85, 'h': 44056.25, 'l': 44017.55, 'c': 44043.6, 'v': 0, 'tf': '9:16'}}}]}

